order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDA09478,2018-03-15,10:21:58,Breakfast,BK,"[('Coffee', 9), ('Pancake', 10), ('Eggs', 7), ('Cereal', 5)]",569.0,-37.807883,144.9713752,0,6.692,11.0971375
ORDX05499,2018-10-27,17:58:18,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 8), ('Salmon', 10), ('Shrimp', 4)]",1126.0,-37.8178238,144.9641079,0,7.782,17.2534223
ORDJ06073,2018-06-22,13:34:38,Lunch,,"[('Fries', 3), ('Steak', 1), ('Burger', 5), ('Chicken', 1), ('Salad', 5)]",354.0,-37.8061658,144.9995386,0,,16.0525846
ORDK08080,2018-08-11,15:16:03,Lunch,BK,"[('Burger', 9), ('Salad', 10), ('Steak', 6), ('Chicken', 2)]",785.0,-37.8189045,144.9527167,0,8.873,16.7395933
ORDZ07047,2018-05-15,12:23:39,Lunch,NS,"[('Salad', 5), ('Burger', 5), ('Steak', 5), ('Fries', 4)]",514.0,-37.8080795,144.9692773,0,6.987,13.0114209
ORDA05013,2018-03-17,10:21:58,Breakfast,,"[('Coffee', 6), ('Eggs', 2), ('Cereal', 1)]",110.0,-37.8077023,144.9421199,0,,17.4359248
ORDK06489,2018-09-22,16:47:19,Dinner,BK,"[('Fish&Chips', 2), ('Salmon', 2), ('Pasta', 9), ('Shrimp', 3)]",561.5,-37.8081091,144.9749603,0,6.35,15.6585253
ORDY07036,2018-12-28,20:00:00,Dinner,TP,"[('Shrimp', 7), ('Pasta', 5)]",515.5,-37.8117127,144.9716148,0,8.771,13.2324368
ORDJ00847,2018-10-31,17:58:18,Dinner,TP,"[('Salmon', 1), ('Shrimp', 3), ('Fish&Chips', 9)]",518.0,-37.8168076,144.9994885,0,10.659,14.1389046
ORDJ06209,2018-02-26,09:51:32,Breakfast,TP,"[('Pancake', 1), ('Coffee', 4), ('Cereal', 4)]",138.25,-37.8054523,145.0005859,0,11.532,13.4230436
ORDB06502,2018-06-16,13:24:30,Lunch,TP,"[('Salad', 10), ('Fries', 5)]",232.0,-37.8184603,144.9735964,0,8.144,13.5485134
ORDC05055,2018-01-18,08:30:25,Breakfast,NS,"[('Eggs', 9), ('Pancake', 10), ('Cereal', 10)]",650.5,-37.805928,144.9320632,1,10.201,7.5825753
ORDZ05995,2018-09-16,16:27:02,Dinner,NS,"[('Pasta', 5), ('Salmon', 10)]",547.5,-37.8041735,144.9643661,0,6.956,15.3559298
ORDI08408,2018-07-11,14:15:12,Lunch,NS,"[('Chicken', 6), ('Burger', 2), ('Steak', 7), ('Fries', 7), ('Salad', 7)]",773.4,-37.8188972,145.0023333,0,10.334,15.3827452
ORDC09221,2018-02-21,09:41:24,Breakfast,NS,"[('Pancake', 7), ('Eggs', 8)]",345.75,-37.814774,145.0066047,0,10.426,15.3424311
ORDX10325,2018-01-21,08:40:33,Breakfast,BK,"[('Cereal', 7), ('Pancake', 6), ('Eggs', 4)]",380.5,-37.8036834,144.9649862,0,7.548,14.7565003
ORDB02200,2018-07-08,14:15:12,Lunch,TP,"[('Salad', 4), ('Fries', 5), ('Burger', 5), ('Steak', 10)]",733.8,-37.8084457,144.9767849,0,9.262,15.1804836
ORDA11022,2018-03-21,10:32:06,Breakfast,BK,"[('Eggs', 1), ('Coffee', 2), ('Cereal', 2)]",79.0,-37.8130001,144.9599442,0,7.889,13.4932898
ORDB02277,2018-10-16,17:27:53,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 1), ('Pasta', 7), ('Salmon', 9)]",755.5,-37.8204275,144.9910395,0,9.727,13.5925771
ORDC01977,2018-03-30,10:52:23,Breakfast,NS,"[('Eggs', 7), ('Pancake', 1)]",178.25,-37.8082091,144.9604111,0,7.607,12.7310142
ORDZ09019,2018-01-13,08:20:16,Breakfast,NS,"[('Cereal', 2), ('Coffee', 2)]",57.0,-37.8074205,144.9292428,1,10.331,8.7658799
ORDK08932,2018-06-15,13:24:30,Lunch,BK,"[('Steak', 4), ('Burger', 2)]",242.0,-37.8135253,144.9655983,0,7.497,12.6207256
ORDZ08276,2018-03-29,10:52:23,Breakfast,,"[('Eggs', 5), ('Cereal', 7), ('Pancake', 3), ('Coffee', 3)]",352.25,-37.8036711,144.9730463,0,6.981,11.9185332
ORDK08435,2018-12-15,19:29:34,Dinner,BK,"[('Fish&Chips', 4), ('Salmon', 10)]",550.0,-37.823966,144.9437262,0,9.896,19.3300694
ORDK09564,2018-11-26,18:49:00,Dinner,BK,"[('Salmon', 10), ('Shrimp', 9), ('Fish&Chips', 3)]",1001.0,-37.8203841,144.949541,0,9.13,15.9819274
ORDB01710,2018-04-24,11:43:05,Breakfast,TP,"[('Cereal', 3), ('Pancake', 2)]",111.5,-37.8192708,144.9527513,0,8.552,11.834384
ORDI00270,2018-03-04,10:01:41,Breakfast,NS,"[('Eggs', 9), ('Cereal', 2), ('Coffee', 10), ('Pancake', 3)]",387.75,-37.8237544,144.9405293,0,10.877,17.7073696
ORDA09189,2018-10-01,16:57:27,Dinner,BK,"[('Fish&Chips', 9), ('Shrimp', 1)]",369.0,-37.8011638,144.9851514,0,6.266,13.3947248
ORDX10850,2018-04-22,11:43:05,Breakfast,BK,"[('Eggs', 5), ('Coffee', 1), ('Cereal', 8)]",285.5,-37.818906,144.9533111,0,8.798,15.7632907
ORDX06858,2018-09-05,16:06:45,Dinner,,"[('Fish&Chips', 9), ('Pasta', 9), ('Shrimp', 2)]",670.5,-37.8152116,144.9275535,0,11.808,18.4822982
ORDI05473,2018-11-17,18:38:52,Dinner,NS,"[('Salmon', 7), ('Fish&Chips', 8), ('Pasta', 5)]",704.5,-37.816865,144.9289353,0,10.584,18.27508
ORDC00602,2018-10-28,17:58:18,Dinner,NS,"[('Pasta', 4), ('Fish&Chips', 4)]",250.0,-37.8088244,144.9488235,0,8.831,16.5072247
ORDX05739,2018-02-18,09:31:16,Breakfast,BK,"[('Cereal', 4), ('Pancake', 3), ('Coffee', 8), ('Eggs', 3)]",282.75,-37.8063392,145.0097678,0,3.909,
ORDC07315,2018-03-06,10:01:41,Breakfast,NS,"[('Pancake', 10), ('Cereal', 2), ('Coffee', 3), ('Eggs', 7)]",461.0,-37.809841,144.9763289,0,7.836,12.824463
ORDJ11031,2018-03-10,10:11:49,Breakfast,TP,"[('Pancake', 2), ('Coffee', 8)]",108.5,-37.8100906,144.9710078,0,8.963,13.5697851
ORDK05651,2018-07-06,14:05:04,Lunch,,"[('Chicken', 2), ('Salad', 2)]",98.4,-37.8211507,144.9982666,0,,10.6339657
ORDJ02059,2018-11-04,18:08:27,Dinner,,"[('Pasta', 2), ('Shrimp', 10), ('Salmon', 4), ('Fish&Chips', 5)]",934.0,-37.8115161,144.9526832,0,,14.5849061
ORDB11000,2018-12-29,20:00:00,Dinner,TP,"[('Salmon', 6), ('Pasta', 8), ('Fish&Chips', 9)]",781.0,-37.8160248,144.9370694,0,10.452,
ORDI04979,2018-03-05,10:01:41,Breakfast,NS,"[('Eggs', 1), ('Coffee', 9), ('Cereal', 3), ('Pancake', 6)]",298.0,-37.8120585,144.9706525,0,7.413,12.1726904
ORDI08380,2018-03-05,10:01:41,Breakfast,NS,"[('Cereal', 5), ('Pancake', 3), ('Eggs', 5), ('Coffee', 2)]",302.75,-37.815787,144.9601527,0,8.513,13.5696705
ORDZ03665,2018-03-24,10:42:15,Breakfast,NS,"[('Pancake', 5), ('Cereal', 10), ('Eggs', 4), ('Coffee', 7)]",471.75,-37.8185805,144.984077,0,8.948,16.6270993
ORDA02155,2018-08-05,15:05:54,Lunch,BK,"[('Fries', 7), ('Salad', 10), ('Chicken', 3)]",352.0,-37.8112451,144.9686679,0,7.14,15.7244065
ORDX04008,2018-04-04,11:02:32,Breakfast,BK,"[('Pancake', 7), ('Coffee', 10)]",244.75,-37.8203732,144.9793657,0,6.997,12.2633737
ORDY04221,2018-06-19,13:34:38,Lunch,,"[('Fries', 5), ('Burger', 6), ('Salad', 5), ('Chicken', 7), ('Steak', 7)]",871.0,-37.8240925,145.0028527,0,10.666,14.1996915
ORDJ05885,2018-04-16,11:22:49,Breakfast,TP,"[('Coffee', 6), ('Pancake', 7)]",214.75,-37.8135706,144.9573567,0,8.426,11.2366007
ORDC00706,2018-11-09,18:18:35,Dinner,,"[('Shrimp', 5), ('Fish&Chips', 9), ('Pasta', 7)]",777.5,-37.803444,145.0109935,0,,16.4759728
ORDZ01459,2018-09-06,16:16:54,Dinner,NS,"[('Salmon', 2), ('Fish&Chips', 8), ('Shrimp', 10), ('Pasta', 3)]",984.5,-37.8164884,144.9844661,0,8.739,14.5971648
ORDI06069,2018-05-24,12:43:56,Lunch,NS,"[('Burger', 4), ('Fries', 3), ('Chicken', 3), ('Salad', 6), ('Steak', 10)]",809.2,-37.822573,144.9793059,0,9.007,
ORDB01029,2018-03-19,10:32:06,Breakfast,TP,"[('Cereal', 2), ('Coffee', 2), ('Pancake', 1), ('Eggs', 10)]",301.25,-37.8196921,144.9795055,0,8.713,11.8918976
ORDZ03045,2018-02-11,09:21:07,Breakfast,NS,"[('Eggs', 4), ('Coffee', 8)]",148.0,-37.8157049,144.9696048,0,7.97,15.4485081
ORDA04880,2018-07-29,14:55:46,Lunch,BK,"[('Fries', 9), ('Salad', 10), ('Chicken', 5), ('Steak', 8), ('Burger', 1)]",831.0,-37.8150746,144.9451143,0,9.148,
ORDY04217,2018-05-22,12:33:48,Lunch,TP,"[('Chicken', 10), ('Fries', 2)]",344.0,-37.8179488,144.9905544,0,9.772,13.3512623
ORDB05750,2018-05-14,12:23:39,Lunch,TP,"[('Steak', 3), ('Fries', 5), ('Salad', 3), ('Burger', 4), ('Chicken', 2)]",434.6,-37.8053807,144.9433806,0,10.221,13.6614013
ORDX08215,2018-09-09,16:16:54,Dinner,BK,"[('Fish&Chips', 5), ('Salmon', 3), ('Pasta', 3)]",380.5,-37.8232658,144.9937521,0,5.823,
ORDX03115,2018-08-14,15:26:11,Lunch,BK,"[('Burger', 3), ('Salad', 4), ('Steak', 5), ('Chicken', 10)]",706.8,-37.8088582,144.9751059,0,6.413,12.0577096
ORDA05419,2018-10-18,17:38:01,Dinner,BK,"[('Pasta', 3), ('Fish&Chips', 7), ('Salmon', 10), ('Shrimp', 3)]",899.5,-37.8182545,144.9669671,0,7.541,14.7603581
ORDB01853,2018-12-19,19:39:43,Dinner,TP,"[('Shrimp', 8), ('Pasta', 4), ('Fish&Chips', 3)]",647.0,-37.8148259,144.9270956,0,11.86,15.383504
ORDB07623,2018-12-13,19:29:34,Dinner,TP,"[('Pasta', 3), ('Salmon', 3), ('Fish&Chips', 7), ('Shrimp', 7)]",828.5,-37.8177809,144.9317784,0,10.759,
ORDB06298,2018-09-27,16:57:27,Dinner,TP,"[('Salmon', 8), ('Shrimp', 7)]",706.0,-37.8076777,144.9732605,0,9.269,
ORDY09636,2018-09-19,16:37:10,Dinner,,"[('Shrimp', 2), ('Fish&Chips', 6), ('Salmon', 6), ('Pasta', 7)]",756.5,-37.8155691,145.001408,0,,14.9185141
ORDB05303,2018-11-12,18:28:43,Dinner,,"[('Salmon', 9), ('Shrimp', 8), ('Pasta', 10)]",1076.0,-37.8157263,144.9581669,0,,12.649653
ORDJ03666,2018-11-20,18:38:52,Dinner,TP,"[('Pasta', 8), ('Shrimp', 9)]",706.0,-37.817809,144.9518045,0,9.014,13.2208502
ORDA01898,2018-04-30,11:53:14,Breakfast,BK,"[('Coffee', 9), ('Pancake', 6), ('Eggs', 2)]",257.0,-37.7997658,144.9551981,0,8.492,13.1561281
ORDC03022,2018-07-26,14:45:38,Lunch,NS,"[('Fries', 5), ('Burger', 6), ('Steak', 2), ('Salad', 7)]",456.4,-37.8030057,144.9357137,0,10.357,15.0475399
ORDA05014,2018-09-11,16:16:54,Dinner,BK,"[('Salmon', 4), ('Fish&Chips', 7)]",409.0,-37.8176462,144.9486878,0,9.099,15.5755781
ORDA00550,2018-10-14,17:27:53,Dinner,,"[('Fish&Chips', 8), ('Pasta', 9)]",527.5,-37.8177501,144.9918018,0,5.511,15.0530084
ORDJ10957,2018-09-15,16:27:02,Dinner,TP,"[('Pasta', 2), ('Shrimp', 1), ('Fish&Chips', 2)]",179.0,-37.8023097,144.9433602,0,10.44,16.1457232
ORDZ00949,2018-06-16,13:24:30,Lunch,NS,"[('Burger', 4), ('Steak', 10), ('Chicken', 9), ('Salad', 4), ('Fries', 10)]",1050.8,-37.8002993,144.9438816,0,8.582,16.1576945
ORDK07430,2018-06-01,12:54:05,Lunch,BK,"[('Fries', 2), ('Steak', 10), ('Burger', 7)]",691.0,-37.802672,144.9576366,0,8.1,14.3347776
ORDA09749,2018-04-17,11:22:49,Breakfast,BK,"[('Cereal', 10), ('Eggs', 2), ('Pancake', 10), ('Coffee', 4)]",526.5,-37.8056684,144.9734148,0,6.767,11.4956193
ORDB10245,2018-01-24,08:40:33,Breakfast,TP,"[('Eggs', 1), ('Cereal', 2), ('Pancake', 3)]",136.75,-37.8197364,144.9791923,0,8.684,11.3219214
ORDY08146,2018-04-09,11:12:40,Breakfast,TP,"[('Coffee', 2), ('Pancake', 10), ('Eggs', 5), ('Cereal', 5)]",472.5,-37.8023596,144.9430107,0,10.46,
ORDC08333,2018-01-22,08:40:33,Breakfast,NS,"[('Eggs', 10), ('Pancake', 9)]",438.25,-37.8022993,145.0113069,0,10.057,15.5585934
ORDZ11087,2018-08-11,15:16:03,Lunch,NS,"[('Fries', 3), ('Salad', 8), ('Burger', 9), ('Steak', 1), ('Chicken', 10)]",817.6,-37.8056292,144.9372341,0,9.729,17.0265736
ORDC10227,2018-02-25,09:41:24,Breakfast,NS,"[('Coffee', 6), ('Cereal', 9), ('Pancake', 6)]",379.5,-37.8029586,145.0087472,0,9.825,17.3105908
ORDC01719,2018-09-29,16:57:27,Dinner,NS,"[('Salmon', 3), ('Pasta', 7), ('Shrimp', 5)]",585.5,-37.8107157,144.9261449,0,10.344,18.004988
ORDJ01786,2018-10-25,17:48:10,Dinner,TP,"[('Fish&Chips', 6), ('Pasta', 1), ('Shrimp', 3), ('Salmon', 8)]",727.5,-37.7994183,144.9547368,0,9.883,13.4207457
ORDJ02881,2018-01-29,08:50:42,Breakfast,TP,"[('Coffee', 1), ('Pancake', 2), ('Eggs', 3)]",122.0,-37.8007831,144.9670003,0,9.788,
ORDY01305,2018-11-15,18:28:43,Dinner,TP,"[('Fish&Chips', 2), ('Shrimp', 2), ('Pasta', 5)]",315.5,-37.8097832,144.9784224,0,9.245,13.0769569
ORDZ03432,2018-08-06,15:05:54,Lunch,NS,"[('Steak', 4), ('Chicken', 4), ('Fries', 1)]",320.0,-37.8052171,144.9641741,0,7.077,12.1405298
ORDY08765,2018-09-10,16:16:54,Dinner,TP,"[('Salmon', 9), ('Pasta', 9)]",616.5,-37.8127256,144.9402147,0,10.122,14.0434524
ORDZ05570,2018-04-12,11:22:49,Breakfast,,"[('Cereal', 2), ('Eggs', 1)]",64.0,-37.8141233,144.9620688,0,,12.8313113
ORDA03234,2018-03-18,10:32:06,Breakfast,BK,"[('Cereal', 6), ('Eggs', 7)]",280.0,-37.8089992,144.972109,0,6.697,
ORDJ06685,2018-07-08,14:15:12,Lunch,,"[('Fries', 7), ('Salad', 3), ('Steak', 5), ('Burger', 6), ('Chicken', 2)]",610.6,-37.819903,144.9600059,0,,12.34044
ORDK04391,2018-05-07,12:03:22,Lunch,BK,"[('Fries', 10), ('Chicken', 6), ('Steak', 10), ('Salad', 1), ('Burger', 7)]",996.2,-37.8217497,144.9367564,0,10.546,
ORDB00095,2018-05-11,12:13:31,Lunch,TP,"[('Burger', 10), ('Chicken', 8)]",566.0,-37.8246959,144.954671,0,8.765,11.8540559
ORDC08902,2018-12-09,19:19:26,Dinner,NS,"[('Shrimp', 6), ('Fish&Chips', 1)]",359.0,-37.8062072,144.9538029,0,8.222,16.4916306
ORDZ09865,2018-03-15,10:21:58,Breakfast,,"[('Cereal', 3), ('Coffee', 1), ('Pancake', 10)]",313.0,-37.8001032,145.0050381,0,9.543,13.8996612
ORDY01017,2018-02-15,09:21:07,Breakfast,TP,"[('Cereal', 1), ('Coffee', 1)]",28.5,-37.823527,144.9693394,0,7.997,
ORDC09502,2018-08-31,15:56:37,Lunch,,"[('Steak', 6), ('Salad', 3), ('Fries', 8), ('Chicken', 4), ('Burger', 4)]",669.6,-37.8089694,144.9617782,0,7.64,13.3885974
ORDK07679,2018-07-23,14:45:38,Lunch,BK,"[('Steak', 2), ('Salad', 10)]",262.0,-37.8262362,145.008968,0,5.09,10.7934131
ORDA06946,2018-05-31,12:54:05,Lunch,BK,"[('Salad', 6), ('Chicken', 8), ('Steak', 4), ('Burger', 2)]",601.2,-37.8155142,144.9738261,0,6.807,13.0222385
ORDK10148,2018-06-22,13:44:47,Lunch,BK,"[('Salad', 2), ('Fries', 5), ('Burger', 2), ('Steak', 1), ('Chicken', 4)]",329.4,-37.8044284,144.9282487,0,10.691,16.8717308
ORDJ02034,2018-04-18,11:32:57,Breakfast,TP,"[('Eggs', 10), ('Pancake', 7)]",389.75,-37.8033005,144.9895772,0,10.732,13.1594504
ORDB02108,2018-03-04,10:01:41,Breakfast,TP,"[('Cereal', 10), ('Coffee', 10), ('Pancake', 9), ('Eggs', 3)]",569.25,-37.8236213,144.9404384,0,9.506,13.7139962
ORDC08599,2018-12-21,19:49:51,Dinner,NS,"[('Salmon', 1), ('Pasta', 2)]",96.0,-37.8121827,144.9697962,0,7.474,13.2138998
ORDA08987,2018-05-07,12:03:22,Lunch,BK,"[('Salad', 5), ('Steak', 10), ('Chicken', 5), ('Burger', 7), ('Fries', 4)]",961.0,-37.8144221,144.961358,0,7.945,13.5977655
ORDC09291,2018-07-22,14:45:38,Lunch,NS,"[('Burger', 2), ('Salad', 5), ('Chicken', 1), ('Steak', 2)]",270.0,-37.8039194,144.9495559,0,8.369,16.240705
ORDA06302,2018-08-25,15:46:28,Lunch,BK,"[('Steak', 2), ('Salad', 7), ('Chicken', 10), ('Burger', 8), ('Fries', 4)]",826.4,-37.8204834,144.9811666,0,7.061,15.2279107
ORDX08963,2018-06-25,13:44:47,Lunch,,"[('Fries', 3), ('Burger', 2), ('Steak', 2), ('Chicken', 2), ('Salad', 7)]",372.4,-37.8243928,144.9845817,0,6.856,12.5272868
ORDY06541,2018-02-04,09:00:50,Breakfast,TP,"[('Eggs', 10), ('Pancake', 5), ('Cereal', 4), ('Coffee', 5)]",462.75,-37.8155797,144.9736,0,8.329,12.0412794
ORDI04926,2018-09-22,16:47:19,Dinner,,"[('Shrimp', 7), ('Salmon', 7), ('Pasta', 4), ('Fish&Chips', 5)]",950.0,-37.8000639,144.9720473,0,,13.857424
ORDZ09341,2018-07-29,14:55:46,Lunch,NS,"[('Salad', 1), ('Burger', 1), ('Steak', 6)]",318.2,-37.8126793,144.9595761,0,8.023,15.2263139
ORDK00826,2018-12-16,19:39:43,Dinner,BK,"[('Pasta', 8), ('Fish&Chips', 5), ('Shrimp', 6), ('Salmon', 2)]",801.0,-37.8165677,144.9666637,0,7.493,16.8618244
ORDX09814,2018-08-29,15:56:37,Lunch,BK,"[('Steak', 9), ('Chicken', 9), ('Salad', 10), ('Burger', 7)]",1082.0,-37.818219,144.9774547,0,7.45,12.9458625
ORDI10191,2018-12-19,19:39:43,Dinner,NS,"[('Fish&Chips', 7), ('Shrimp', 4), ('Salmon', 7)]",748.0,-37.8149648,144.9275663,0,10.782,16.3240825
ORDI06724,2018-09-11,16:16:54,Dinner,,"[('Fish&Chips', 2), ('Salmon', 4)]",234.0,-37.7995359,144.9899753,0,8.064,14.0804535
ORDC10914,2018-01-31,09:00:50,Breakfast,NS,"[('Cereal', 2), ('Pancake', 5), ('Coffee', 2), ('Eggs', 6)]",310.25,-37.8048493,144.9662942,0,6.857,
ORDB10931,2018-11-29,18:59:09,Dinner,TP,"[('Shrimp', 1), ('Pasta', 7), ('Fish&Chips', 4), ('Salmon', 4)]",550.5,-37.8019786,145.0033973,0,12.036,15.8949159
ORDZ10806,2018-04-16,11:22:49,Breakfast,NS,"[('Coffee', 1), ('Cereal', 10), ('Pancake', 5), ('Eggs', 5)]",448.75,-37.8121745,144.9621986,0,7.837,12.9641864
ORDJ06812,2018-05-10,12:13:31,Lunch,,"[('Fries', 4), ('Salad', 2), ('Chicken', 7), ('Steak', 8), ('Burger', 6)]",852.4,-37.7993521,144.9640569,0,9.826,13.0122445
ORDC06676,2018-11-02,18:08:27,Dinner,NS,"[('Shrimp', 5), ('Pasta', 9), ('Fish&Chips', 4), ('Salmon', 2)]",739.5,-37.8074551,144.9748373,0,7.238,13.0303139
ORDJ08500,2018-08-01,14:55:46,Lunch,TP,"[('Burger', 6), ('Fries', 3), ('Steak', 9)]",627.0,-37.8053448,144.9737165,0,9.537,12.8954969
ORDZ02383,2018-07-09,14:15:12,Lunch,,"[('Steak', 5), ('Salad', 4)]",293.8,-37.7985847,144.9657122,0,,12.6264289
ORDC10156,2018-10-25,17:48:10,Dinner,NS,"[('Salmon', 5), ('Pasta', 8), ('Shrimp', 6), ('Fish&Chips', 5)]",924.0,-37.8199907,144.9659912,0,8.838,14.9446132
ORDB03266,2018-07-10,14:15:12,Lunch,TP,"[('Fries', 8), ('Burger', 2), ('Chicken', 2)]",222.0,-37.8219224,144.9685203,0,7.801,11.3071005
ORDC07338,2018-07-03,14:05:04,Lunch,NS,"[('Steak', 4), ('Burger', 2)]",242.0,-37.8070125,144.9626663,0,7.4,12.5410513
ORDY09555,2018-04-22,11:32:57,Breakfast,TP,"[('Coffee', 7), ('Cereal', 8), ('Eggs', 6), ('Pancake', 1)]",376.75,-37.8219232,144.9968175,0,10.179,14.5611188
ORDY05105,2018-03-05,10:01:41,Breakfast,TP,"[('Coffee', 7), ('Pancake', 6), ('Cereal', 2)]",240.0,-37.7922014,144.9366421,0,11.977,14.4038021
ORDI06798,2018-05-09,12:13:31,Lunch,NS,"[('Fries', 10), ('Steak', 4), ('Salad', 4), ('Burger', 4), ('Chicken', 8)]",748.8,-37.7993565,144.9640943,0,6.806,12.4351058
ORDY09453,2018-04-12,11:22:49,Breakfast,TP,"[('Coffee', 2), ('Pancake', 2), ('Eggs', 9), ('Cereal', 5)]",366.5,-37.8047047,144.9279162,0,11.411,13.653986
ORDA10908,2018-02-17,09:31:16,Breakfast,BK,"[('Pancake', 7), ('Coffee', 4), ('Eggs', 5)]",309.75,-37.8093191,144.9625898,0,7.535,14.6801744
ORDJ00823,2018-05-12,12:13:31,Lunch,TP,"[('Salad', 1), ('Steak', 1), ('Chicken', 5), ('Burger', 2)]",284.2,-37.7963818,144.9398892,0,11.21,15.7257289
ORDC03169,2018-12-08,19:19:26,Dinner,NS,"[('Shrimp', 2), ('Fish&Chips', 2), ('Salmon', 9)]",547.0,-37.8199256,144.9921569,0,9.659,17.7244338
ORDC03733,2018-12-09,19:19:26,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 4), ('Shrimp', 1)]",234.0,-37.8196616,144.9907291,0,9.53,17.2567945
ORDI03922,2018-09-03,16:06:45,Dinner,,"[('Fish&Chips', 2), ('Salmon', 7), ('Pasta', 3), ('Shrimp', 5)]",709.5,-37.8148086,144.9357019,0,10.166,15.9107633
ORDB03746,2018-05-07,12:03:22,Lunch,TP,"[('Fries', 3), ('Chicken', 8)]",292.0,-37.8064324,144.9544806,0,9.33,12.5290202
ORDK06798,2018-08-08,15:16:03,Lunch,,"[('Burger', 8), ('Steak', 2), ('Salad', 8)]",475.6,-37.8097211,144.972937,0,6.678,12.8194588
ORDB00193,2018-06-26,13:44:47,Lunch,TP,"[('Burger', 10), ('Fries', 1), ('Chicken', 5)]",482.0,-37.8251248,144.9847037,0,8.977,12.3065021
ORDI10430,2018-10-14,17:27:53,Dinner,NS,"[('Shrimp', 2), ('Salmon', 5)]",313.0,-37.8118847,144.9996558,0,9.551,17.4970995
ORDB04869,2018-07-24,14:45:38,Lunch,TP,"[('Chicken', 2), ('Salad', 7), ('Steak', 7), ('Burger', 2)]",561.4,-37.8034867,144.9498193,0,9.917,
ORDK02551,2018-11-13,18:28:43,Dinner,BK,"[('Pasta', 4), ('Fish&Chips', 6), ('Salmon', 1), ('Shrimp', 2)]",469.0,-37.8123703,144.9617401,0,7.704,14.4461749
ORDZ07563,2018-01-18,08:30:25,Breakfast,NS,"[('Cereal', 8), ('Eggs', 10)]",388.0,-37.8056348,144.953619,1,8.16,
ORDC07614,2018-04-05,11:02:32,Breakfast,NS,"[('Pancake', 7), ('Cereal', 6), ('Coffee', 7)]",348.25,-37.8179752,144.9512067,0,9.205,14.0956394
ORDK02814,2018-12-10,19:19:26,Dinner,,"[('Shrimp', 3), ('Salmon', 7)]",449.0,-37.8212898,144.9644173,0,8.072,15.291727
ORDI04562,2018-01-08,08:10:08,Breakfast,,"[('Cereal', 7), ('Eggs', 7), ('Pancake', 8), ('Coffee', 1)]",502.5,-37.8142644,144.9379114,1,,7.4416921
ORDK05594,2018-02-02,09:00:50,Breakfast,BK,"[('Cereal', 7), ('Eggs', 10), ('Pancake', 8)]",561.0,-37.8197476,145.0111595,0,4.421,9.3695872
ORDA04134,2018-07-23,14:45:38,Lunch,BK,"[('Chicken', 8), ('Burger', 1), ('Salad', 10)]",459.0,-37.8273271,145.0130019,0,5.252,
ORDA01184,2018-08-19,15:36:20,Lunch,BK,"[('Chicken', 5), ('Fries', 6)]",232.0,-37.8157757,144.9583015,0,8.203,
ORDZ04989,2018-10-28,17:58:18,Dinner,,"[('Salmon', 10), ('Pasta', 4), ('Shrimp', 8)]",952.0,-37.8090972,144.9479287,0,,16.6967969
